iter	RMSE
0	0.9906920153
1	0.9724650398
2	0.953517214
3	0.9364026497
4	0.9167974257
5	0.8952501897
6	0.8788409131
7	0.8616639023
8	0.845980993
9	0.8333119921
10	0.8178723007
11	0.8057368273
12	0.7915062018
13	0.7803802529
14	0.7703057497
15	0.7599863015
16	0.7482879635
17	0.7379484297
18	0.7269510914
19	0.7178191033
20	0.7092746957
21	0.7000652559
22	0.6900341191
23	0.6827784595
24	0.6751794624
25	0.6684388633
26	0.6598752971
27	0.6538734266
28	0.6478726231
29	0.639326964
30	0.6342867824
31	0.6282633663
32	0.6218710215
33	0.6171662263
34	0.6098488701
35	0.6036454982
36	0.598824498
37	0.5915395173
38	0.5870009733
39	0.5783440858
40	0.5744536913
41	0.5710942941
42	0.5664550107
43	0.5623656484
44	0.5582571798
45	0.5546008097
46	0.5516496477
47	0.548560191
48	0.5445663748
49	0.5406743184
50	0.5355131737
51	0.5305189287
52	0.527496981
53	0.5219349232
54	0.5201998246
55	0.5167209026
56	0.5126899485
57	0.50898927
58	0.5010948006
59	0.4982244633
60	0.4944373975
61	0.4918774102
62	0.4899353039
63	0.4884337914
64	0.4845692363
65	0.4793894646
66	0.4743015056
67	0.4699795799
68	0.4667516802
69	0.4636070975
70	0.4608628531
71	0.4585300882
72	0.455523922
73	0.452046189
74	0.4489501178
75	0.4461742516
76	0.4445543459
77	0.4422016247
78	0.4378567212
79	0.4356808713
80	0.4337638297
81	0.4307421956
82	0.4286291207
83	0.4267640612
84	0.4249974615
85	0.4241181278
86	0.4203069885
87	0.4187823466
88	0.416090651
89	0.4134003954
90	0.4110861961
91	0.4085820645
92	0.4053827075
93	0.4022567902
94	0.3992848678
95	0.3974913239
96	0.3948306955
97	0.391682967
98	0.3893920052
99	0.3875496582
100	0.3864640498
101	0.3852067118
102	0.3840331816
103	0.3819849632
104	0.3789890217
105	0.3771828558
106	0.3754029215
107	0.3726048818
108	0.3704610737
109	0.3693263575
110	0.367352404
111	0.3662745394
112	0.3652792267
113	0.3625813891
114	0.3607142063
115	0.3589517805
116	0.3563192765
117	0.355159022
118	0.3528130334
119	0.3508506533
120	0.3492967625
121	0.3472463347
122	0.3437443637
123	0.341600812
124	0.3403300693
125	0.3379577363
126	0.3360355662
127	0.3335444317
128	0.3321362503
129	0.3302515867
130	0.3277767704
131	0.326298834
132	0.324745549
133	0.3227470915
134	0.3214252364
135	0.3200340495
136	0.318513051
137	0.3170534733
138	0.3159080938
139	0.314700474
140	0.3132266468
141	0.3110853967
142	0.3093600495
143	0.3066821947
144	0.3046631411
145	0.3018296169
146	0.3006783826
147	0.2997610827
148	0.2980630653
149	0.2965346086
