iter	RMSE
0	1.239403532
1	1.224190329
2	1.210582429
3	1.194575596
4	1.181449248
5	1.170286403
6	1.156527591
7	1.144085956
8	1.131550219
9	1.117128685
10	1.105802554
11	1.093678446
12	1.084425239
13	1.075769582
14	1.065610552
15	1.054456617
16	1.045810589
17	1.035135482
18	1.028882828
19	1.017166912
20	1.007189441
21	0.9979391202
22	0.9902844059
23	0.9853710944
24	0.9782281392
25	0.9704620187
26	0.9629665614
27	0.9563401387
28	0.9510506925
29	0.9409291435
30	0.9360901999
31	0.9321067969
32	0.9267408717
33	0.9221091423
34	0.9189347214
35	0.9144574625
36	0.9086081043
37	0.901410372
38	0.8975736042
39	0.8942912779
40	0.8873042219
41	0.8821925398
42	0.8801456343
43	0.8773959774
44	0.8756150405
45	0.8729020159
46	0.8693112239
47	0.8659831077
48	0.8624445852
49	0.8596850129
50	0.8576628021
51	0.8546307791
52	0.8531990492
53	0.848665387
54	0.847193894
55	0.843538639
56	0.841582443
57	0.8399459782
58	0.8381094948
59	0.8359581636
60	0.8343630972
61	0.831646444
62	0.8278981759
63	0.8265307382
64	0.8203245809
65	0.8185372418
66	0.8098384802
67	0.8043933999
68	0.8025659204
69	0.8010667228
70	0.798968389
71	0.7953842931
72	0.7939944169
73	0.7922169175
74	0.790165013
75	0.7867127342
76	0.7853893781
77	0.7820586475
78	0.7812652086
79	0.7779093293
80	0.7757457204
81	0.7704551953
82	0.7693107218
83	0.7680964816
84	0.7657649312
85	0.7601886354
86	0.7594010079
87	0.7570581107
88	0.7556070633
89	0.7511629784
90	0.7498204776
91	0.7470311607
92	0.7438078718
93	0.7420321999
94	0.7387441947
95	0.7358619641
96	0.734961001
97	0.7322576153
98	0.7301536158
99	0.7281158433
100	0.7272645177
101	0.7253944235
102	0.7248787923
103	0.7240564389
104	0.722338112
105	0.7185419346
106	0.7170638204
107	0.713948852
108	0.7095633369
109	0.7074030113
110	0.7064819531
111	0.7019274423
112	0.6969021188
113	0.6937515989
114	0.6906963552
115	0.6890575922
116	0.686787158
117	0.6832387561
118	0.6808143239
119	0.6786623335
120	0.6756394424
121	0.672691922
122	0.6714756455
123	0.667313634
124	0.6653402473
125	0.6622889461
126	0.6592663388
127	0.6550773399
128	0.650595139
129	0.6492884717
130	0.6464960042
131	0.6423834861
132	0.6393838648
133	0.6347954785
134	0.6308481784
135	0.626369889
136	0.6243718035
137	0.6222069939
138	0.6208448932
139	0.6198288121
140	0.617475668
141	0.6153175962
142	0.6101900905
143	0.6074768114
144	0.6064668646
145	0.6025155459
146	0.5990714608
147	0.5979099666
148	0.5946589706
149	0.5936405999
150	0.5924187201
151	0.589660256
152	0.5871344348
153	0.5862505268
154	0.5840448862
155	0.5815456121
156	0.5799843076
157	0.5765654007
158	0.5728756869
159	0.5709499088
160	0.5672350166
161	0.5657342026
162	0.5647764602
163	0.5629126507
164	0.559311466
165	0.5557861391
166	0.5548324927
167	0.550701675
168	0.5485370268
169	0.5439610792
170	0.5404456376
171	0.5364353477
172	0.5335344206
173	0.5322602654
174	0.5306163129
175	0.5297025665
176	0.5257574959
177	0.5229195017
178	0.5207454735
179	0.5188938967
180	0.5172736541
181	0.5151931705
182	0.5144224529
183	0.511314396
184	0.509405619
185	0.5059187489
186	0.5049629534
187	0.5020560872
188	0.4990510152
189	0.4956164861
190	0.4946998538
191	0.4937492689
192	0.4929699088
193	0.491097472
194	0.4903871463
195	0.4869143478
196	0.4842797812
197	0.4815298798
198	0.479726772
199	0.4790882725
5676
52
