iter	RMSE
0	1.030072384
1	1.013787813
2	0.9989642235
3	0.9862285396
4	0.9707000784
5	0.9573564777
6	0.9408867864
7	0.9290342538
8	0.9137638218
9	0.9020453
10	0.8921675766
11	0.8805509448
12	0.8698340767
13	0.8585761694
14	0.8495886893
15	0.8385368626
16	0.8291718976
17	0.8191324703
18	0.8109066956
19	0.8012825941
20	0.7939790898
21	0.7843319609
22	0.7759103606
23	0.7697546475
24	0.7604796377
25	0.7527873161
26	0.7455952408
27	0.7404443427
28	0.7356921287
29	0.7285947205
30	0.7207599263
31	0.7154932651
32	0.7106643808
33	0.7063495967
34	0.6999719686
35	0.6958142522
36	0.6911289552
37	0.6863713119
38	0.6813951117
39	0.6765393014
40	0.6714789009
41	0.6680671406
42	0.6637055153
43	0.6591519004
44	0.6554579072
45	0.652618734
46	0.648679452
47	0.6446559681
48	0.6387528921
49	0.6355877984
50	0.6304681758
51	0.6271840369
52	0.6237366325
53	0.6194562695
54	0.6169399031
55	0.6137758054
56	0.6110463632
57	0.6068355203
58	0.601664613
59	0.5978970214
60	0.5946814186
61	0.5905809066
62	0.5848390844
63	0.5816941476
64	0.5795898682
65	0.5778058696
66	0.57504891
67	0.5731487223
68	0.5704056579
69	0.5677784508
70	0.5638378532
71	0.5607902902
72	0.5578141521
73	0.5538893807
74	0.5510824258
75	0.5465911807
76	0.5434728975
77	0.5416021638
78	0.5394441819
79	0.5364572195
80	0.5333893351
81	0.5314219472
82	0.5291950555
83	0.5260587439
84	0.5244742113
85	0.5223754502
86	0.52095066
87	0.519864493
88	0.5176282755
89	0.5140285936
90	0.5123863095
91	0.5104394179
92	0.5075286816
93	0.5037906957
94	0.5020399691
95	0.500551757
96	0.499211877
97	0.4974248845
98	0.495513224
99	0.4936576649
100	0.4913109166
101	0.4884199279
102	0.4860345289
103	0.4843111107
104	0.4816207354
105	0.4801649205
106	0.4773049788
107	0.4760222144
108	0.4743645535
109	0.4735059964
110	0.4722419079
111	0.4713230076
112	0.4705282376
113	0.467646974
114	0.4654200883
115	0.4637173919
116	0.4622154584
117	0.4598485142
118	0.458724884
119	0.457517143
120	0.4563349536
121	0.4543877733
122	0.4527720832
123	0.4516136947
124	0.4500217199
125	0.4490622965
126	0.4481122642
127	0.4465039765
128	0.445056983
129	0.4436804443
130	0.4423477025
131	0.4400962435
132	0.4394819431
133	0.4380848708
134	0.435788062
135	0.4329264004
136	0.4313741086
137	0.4306992045
138	0.4301917097
139	0.429099224
140	0.4282736291
141	0.4257202262
142	0.4231166339
143	0.4214535888
144	0.4200506876
145	0.4175281996
146	0.4161366322
147	0.4148915891
148	0.4130547898
149	0.4123269931
